Cluster Index	Z	x	y	z	
8	10.4	37	15	26
8	8.74	34	15	24
8	8.23	37	9	25
8	7.98	37	20	21
8	5.93	41	21	19
8	4.85	41	17	21
7	4.98	50	36	40
7	4.71	48	31	44
7	4.43	47	38	42
7	4.25	53	38	37
7	3.94	48	35	36
7	3.86	43	32	37
6	4.7	53	46	21
6	4.53	52	42	20
6	4.37	54	40	16
6	4.33	54	44	14
6	4.24	53	38	23
6	4.08	49	40	19
5	4.68	18	32	43
5	4.56	16	34	44
5	4.44	21	33	46
5	4.29	19	34	45
5	4.08	18	35	43
5	4.08	14	31	41
4	4.91	51	23	30
4	4.35	47	25	30
4	3.64	51	21	34
4	3.39	47	20	29
4	3.34	50	22	27
3	4.05	15	23	35
3	3.98	14	21	34
3	3.56	18	23	33
3	3.56	17	19	34
3	3.5	16	25	30
3	3.49	14	26	29
2	4.26	30	32	45
2	4.25	30	38	44
2	4.06	31	35	44
2	3.8	30	36	46
2	3.54	34	36	43
1	4.27	31	38	10
