Cluster Index	Z	x	y	z	
8	10.4	11.1	-133	12.5
8	8.74	1.78	-134	5.74
8	8.23	11.8	-152	9.67
8	7.98	9.66	-116	-6.46
8	5.93	21.3	-111	-14.6
8	4.85	22.1	-125	-6.78
7	4.98	49.7	-59.6	58.1
7	4.71	45	-76.9	73.8
7	4.43	40.7	-54.3	65.7
7	4.25	58	-51.8	46.4
7	3.94	43.2	-63.5	44.1
7	3.86	28.7	-75.3	49.1
6	4.7	54.3	-25	-13.1
6	4.53	51.7	-38.5	-16
6	4.37	57.3	-44.1	-30.7
6	4.33	56.5	-30.9	-38.5
6	4.24	55.7	-51.3	-4.67
6	4.08	42.8	-46.1	-18.8
5	4.68	-45.7	-85.2	75.6
5	4.56	-51.8	-79.4	79.3
5	4.44	-36.3	-80.9	85.8
5	4.29	-42.6	-78.3	82.4
5	4.08	-46.1	-75.4	75.2
5	4.08	-57.9	-89.9	69.2
4	4.91	52.9	-101	23.3
4	4.35	40.6	-96.4	23.8
4	3.64	53.8	-108	38.2
4	3.39	41.1	-113	20.8
4	3.34	49.5	-105	12.7
3	4.05	-54.8	-116	48.3
3	3.98	-57.7	-122	45.1
3	3.56	-46.1	-114	40.4
3	3.56	-48.4	-128	44.8
3	3.5	-52.9	-108	29.6
3	3.49	-59.2	-106	26.2
2	4.26	-9.22	-80.6	80.7
2	4.25	-10.2	-60.9	76.2
2	4.06	-6.78	-70.4	76.4
2	3.8	-9.6	-67.5	83.7
2	3.54	1.97	-65.9	72.1
1	4.27	-12.7	-59.3	-48
